# GoodFET AVR Instability test.
# Probability that unlocked chip reads EEPROM correctly.
# 10000 trials/point, 1 steps/point
# DAC Range 0860 to 0890
# Generated by GoodFET, http://goodfet.sf.net/
1.727344, 0.000000
1.728149, 0.000000
1.728955, 0.000000
1.729761, 0.000000
1.730566, 0.000000
1.731372, 0.000000
1.732178, 0.000000
1.732983, 0.000000
1.733789, 0.000000
1.734595, 0.000000
1.735400, 0.000000
1.736206, 0.000000
1.737012, 0.000000
1.737817, 0.000000
1.738623, 0.000000
1.739429, 0.000000
1.740234, 0.000000
1.741040, 0.000000
1.741846, 0.000000
1.742651, 0.000000
1.743457, 0.000000
1.744263, 0.000000
1.745068, 0.000000
1.745874, 0.000000
1.746680, 0.000000
1.747485, 0.000000
1.748291, 0.000500
1.749097, 0.000500
1.749902, 0.005900
1.750708, 0.027400
1.751514, 0.063800
1.752319, 0.161900
1.753125, 0.302500
1.753931, 0.476900
1.754736, 0.640200
1.755542, 0.760200
1.756348, 0.827400
1.757153, 0.712500
1.757959, 0.704500
1.758765, 0.690700
1.759570, 0.686600
1.760376, 0.730300
1.761182, 0.781200
1.761987, 0.850600
1.762793, 0.885100
1.763599, 0.915200
1.764404, 0.940900
1.765210, 0.964500
