# Threshold voltage test.
# 100 trials/point, 1 steps/point
# DAC Range 0860 to 0890
# Generated by GoodFET, http://goodfet.sf.net/
1.727344, 0.000000
1.728149, 0.010000
1.728955, 0.040000
1.729761, 0.070000
1.730566, 0.100000
1.731372, 0.130000
1.732178, 0.120000
1.732983, 0.140000
1.733789, 0.170000
1.734595, 0.190000
1.735400, 0.190000
1.736206, 0.220000
1.737012, 0.150000
1.737817, 0.140000
1.738623, 0.120000
1.739429, 0.140000
1.740234, 0.170000
1.741040, 0.160000
1.741846, 0.160000
1.742651, 0.160000
1.743457, 0.160000
1.744263, 0.200000
1.745068, 0.240000
1.745874, 0.240000
1.746680, 0.180000
1.747485, 0.190000
1.748291, 0.130000
1.749097, 0.060000
1.749902, 0.020000
1.750708, 0.020000
1.751514, 0.030000
1.752319, 0.000000
1.753125, 0.000000
1.753931, 0.000000
1.754736, 0.000000
1.755542, 0.000000
1.756348, 0.000000
1.757153, 0.000000
1.757959, 0.000000
1.758765, 0.000000
1.759570, 0.000000
1.760376, 0.000000
1.761182, 0.000000
1.761987, 0.000000
1.762793, 0.000000
1.763599, 0.000000
1.764404, 0.000000
1.765210, 0.000000
