# GoodFET AVR Instability test.
# Probability that locked chip dumps 0xFF when 0xFC for lockbits.
# Doesn't distinguish real misread from comm. error.
# 10000 trials/point, 1 steps/point
# DAC Range 0860 to 0890
# Generated by GoodFET, http://goodfet.sf.net/
1.727344, 0.244200
1.728149, 0.271400
1.728955, 0.278800
1.729761, 0.286800
1.730566, 0.294100
1.731372, 0.295000
1.732178, 0.296800
1.732983, 0.300600
1.733789, 0.301800
1.734595, 0.302800
1.735400, 0.301900
1.736206, 0.303800
1.737012, 0.306000
1.737817, 0.307100
1.738623, 0.310000
1.739429, 0.312700
1.740234, 0.313800
1.741040, 0.318500
1.741846, 0.323400
1.742651, 0.322600
1.743457, 0.330700
1.744263, 0.334100
1.745068, 0.334900
1.745874, 0.339600
1.746680, 0.336900
1.747485, 0.335000
1.748291, 0.291300
1.749097, 0.253200
1.749902, 0.232400
1.750708, 0.274400
1.751514, 0.339600
1.752319, 0.497400
1.753125, 0.585900
1.753931, 0.662600
1.754736, 0.733500
1.755542, 0.771100
1.756348, 0.818300
1.757153, 0.861100
1.757959, 0.888600
1.758765, 0.916200
1.759570, 0.929400
1.760376, 0.944700
1.761182, 0.962900
1.761987, 0.974800
1.762793, 0.983000
1.763599, 0.989400
1.764404, 0.993800
1.765210, 0.995500
