# Threshold voltage test.
# 10000 trials/point, 1 steps/point
# DAC Range 0860 to 0890
# Generated by GoodFET, http://goodfet.sf.net/
1.727344, 0.137300
1.728149, 0.171200
1.728955, 0.189500
1.729761, 0.200700
1.730566, 0.214200
1.731372, 0.217900
1.732178, 0.226700
1.732983, 0.230500
1.733789, 0.237000
1.734595, 0.240800
1.735400, 0.244200
1.736206, 0.253300
1.737012, 0.255600
1.737817, 0.258800
1.738623, 0.269800
1.739429, 0.277600
1.740234, 0.279500
1.741040, 0.285300
1.741846, 0.290100
1.742651, 0.292500
1.743457, 0.294600
1.744263, 0.298800
1.745068, 0.300200
1.745874, 0.295600
1.746680, 0.281400
1.747485, 0.256200
1.748291, 0.225000
1.749097, 0.190700
1.749902, 0.182000
1.750708, 0.240200
1.751514, 0.410800
1.752319, 0.522600
1.753125, 0.622200
1.753931, 0.690000
1.754736, 0.748900
1.755542, 0.781400
1.756348, 0.833700
1.757153, 0.856600
1.757959, 0.886400
1.758765, 0.908300
1.759570, 0.923300
1.760376, 0.949000
1.761182, 0.964900
1.761987, 0.975800
1.762793, 0.985400
1.763599, 0.991200
1.764404, 0.994300
1.765210, 0.996600
