# GoodFET AVR SPI Sync Error test.
# Probability that unlocked chip reads locked EEPROM correctly.
# 10000 trials/point, 1 steps/point
# DAC Range 0860 to 0890
# Generated by GoodFET, http://goodfet.sf.net/
1.727344, 0.000000
1.728149, 0.000000
1.728955, 0.000000
1.729761, 0.000000
1.730566, 0.000000
1.731372, 0.000000
1.732178, 0.000000
1.732983, 0.000000
1.733789, 0.000000
1.734595, 0.000000
1.735400, 0.000000
1.736206, 0.000000
1.737012, 0.000000
1.737817, 0.000000
1.738623, 0.000000
1.739429, 0.000000
1.740234, 0.000000
1.741040, 0.000000
1.741846, 0.000000
1.742651, 0.000000
1.743457, 0.000000
1.744263, 0.000000
1.745068, 0.000000
1.745874, 0.000000
1.746680, 0.000000
1.747485, 0.000400
1.748291, 0.003900
1.749097, 0.015100
1.749902, 0.042500
1.750708, 0.058900
1.751514, 0.079200
1.752319, 0.084500
1.753125, 0.075500
1.753931, 0.053400
1.754736, 0.036000
1.755542, 0.015800
1.756348, 0.008500
1.757153, 0.005400
1.757959, 0.001200
1.758765, 0.000000
1.759570, 0.000000
1.760376, 0.000000
1.761182, 0.000000
1.761987, 0.000000
1.762793, 0.000000
1.763599, 0.000000
1.764404, 0.000000
1.765210, 0.000000
