# DEBUG Waiting for a keypress.
       468.80000 ms     0000393a ticks
        27.55200 ms     0000035d ticks
        29.82400 ms     000003a4 ticks
        29.82400 ms     000003a4 ticks
        29.82400 ms     000003a4 ticks
        29.82400 ms     000003a4 ticks
        29.82400 ms     000003a4 ticks
        29.82400 ms     000003a4 ticks
        29.82400 ms     000003a4 ticks
        29.79200 ms     000003a3 ticks
        29.82400 ms     000003a4 ticks
        29.82400 ms     000003a4 ticks
        27.58400 ms     0000035e ticks
        29.82400 ms     000003a4 ticks
        29.82400 ms     000003a4 ticks
        24.44800 ms     000002fc ticks
       133.60000 ms     0000104f ticks
        33.21600 ms     0000040e ticks
       317.56800 ms     000026c4 ticks
       148.99200 ms     00001230 ticks
        93.95200 ms     00000b78 ticks
        81.05600 ms     000009e5 ticks
        77.24800 ms     0000096e ticks
       105.98400 ms     00000cf0 ticks
       298.78400 ms     00002479 ticks
       135.16800 ms     00001080 ticks
      1815.84000 ms     0000dda9 ticks
       133.12000 ms     00001040 ticks
        45.88800 ms     0000059a ticks
       137.63200 ms     000010cd ticks
       934.04800 ms     00007205 ticks
       167.04000 ms     00001464 ticks
       275.77600 ms     000021aa ticks
       185.12000 ms     00001699 ticks
       118.52800 ms     00000e78 ticks
        19.80800 ms     0000026b ticks
       185.95200 ms     000016b3 ticks
       146.65600 ms     000011e7 ticks
        64.70400 ms     000007e6 ticks
       115.00800 ms     00000e0a ticks
       271.58400 ms     00002127 ticks
        87.84000 ms     00000ab9 ticks
        60.51200 ms     00000763 ticks
       130.88000 ms     00000ffa ticks
       384.44800 ms     00002eee ticks
       130.84800 ms     00000ff9 ticks
       100.22400 ms     00000c3c ticks
       110.46400 ms     00000d7c ticks
       712.54400 ms     000056fb ticks
        96.89600 ms     00000bd4 ticks
       127.42400 ms     00000f8e ticks
        85.60000 ms     00000a73 ticks
       183.84000 ms     00001671 ticks
       187.36000 ms     000016df ticks
       106.75200 ms     00000d08 ticks
        51.48800 ms     00000649 ticks
        39.61600 ms     000004d6 ticks
       175.45600 ms     0000156b ticks
         9.66400 ms     0000012e ticks
       115.23200 ms     00000e11 ticks
        22.88000 ms     000002cb ticks
       137.66400 ms     000010ce ticks
       196.38400 ms     000017f9 ticks
       105.98400 ms     00000cf0 ticks
       775.29600 ms     00005ea4 ticks
       119.55200 ms     00000e98 ticks
       543.39200 ms     00004255 ticks
       175.90400 ms     00001579 ticks
       417.95200 ms     00003305 ticks
       142.17600 ms     0000115b ticks
       150.40000 ms     0000125c ticks
       121.82400 ms     00000edf ticks
        89.76000 ms     00000af5 ticks
       133.15200 ms     00001041 ticks
        52.16000 ms     0000065e ticks
       137.63200 ms     000010cd ticks
        93.98400 ms     00000b79 ticks
       142.17600 ms     0000115b ticks
       139.96800 ms     00001116 ticks
       133.12000 ms     00001040 ticks
        35.42400 ms     00000453 ticks
        96.92800 ms     00000bd5 ticks
       188.00000 ms     000016f3 ticks
       101.21600 ms     00000c5b ticks
       729.98400 ms     0000591c ticks
       105.98400 ms     00000cf0 ticks
       135.77600 ms     00001093 ticks
       126.30400 ms     00000f6b ticks
       591.45600 ms     00004833 ticks
       151.20000 ms     00001275 ticks
       986.40000 ms     00007869 ticks
       132.92800 ms     0000103a ticks
       160.86400 ms     000013a3 ticks
       115.00800 ms     00000e0a ticks
        20.80000 ms     0000028a ticks
       110.49600 ms     00000d7d ticks
        54.27200 ms     000006a0 ticks
       130.84800 ms     00000ff9 ticks
       378.27200 ms     00002e2d ticks
       112.76800 ms     00000dc4 ticks
       158.75200 ms     00001361 ticks
       117.28000 ms     00000e51 ticks
        24.99200 ms     0000030d ticks
        99.13600 ms     00000c1a ticks
        55.45600 ms     000006c5 ticks
        86.20800 ms     00000a86 ticks
        13.95200 ms     000001b4 ticks
        85.60000 ms     00000a73 ticks
        56.35200 ms     000006e1 ticks
       130.84800 ms     00000ff9 ticks
       142.04800 ms     00001157 ticks
       144.44800 ms     000011a2 ticks
        26.14400 ms     00000331 ticks
       103.84000 ms     00000cad ticks
        22.88000 ms     000002cb ticks
       115.00800 ms     00000e0a ticks
        20.83200 ms     0000028b ticks
       130.84800 ms     00000ff9 ticks
       133.69600 ms     00001052 ticks
        67.48800 ms     0000083d ticks
       154.59200 ms     000012df ticks
       130.33600 ms     00000fe9 ticks
        12.00000 ms     00000177 ticks
       135.74400 ms     00001092 ticks
        37.53600 ms     00000495 ticks
       125.95200 ms     00000f60 ticks
        14.27200 ms     000001be ticks
        97.05600 ms     00000bd9 ticks
       217.31200 ms     00001a87 ticks
       160.32000 ms     00001392 ticks
       150.40000 ms     0000125c ticks
       135.36000 ms     00001086 ticks
        26.14400 ms     00000331 ticks
        78.78400 ms     0000099e ticks
       160.92800 ms     000013a5 ticks
       100.83200 ms     00000c4f ticks
         9.63200 ms     0000012d ticks
        78.84800 ms     000009a0 ticks
       254.94400 ms     00001f1f ticks
       135.32800 ms     00001085 ticks
        21.28000 ms     00000299 ticks
        83.32800 ms     00000a2c ticks
       171.36000 ms     000014eb ticks
       121.82400 ms     00000edf ticks
       131.58400 ms     00001010 ticks
       126.33600 ms     00000f6c ticks
       549.72800 ms     0000431b ticks
       139.96800 ms     00001116 ticks
       102.33600 ms     00000c7e ticks
       110.49600 ms     00000d7d ticks
       522.52800 ms     00003fc9 ticks
       144.48000 ms     000011a3 ticks
       175.52000 ms     0000156d ticks
       117.28000 ms     00000e51 ticks
        60.51200 ms     00000763 ticks
       112.70400 ms     00000dc2 ticks
        33.50400 ms     00000417 ticks
       147.13600 ms     000011f6 ticks
        50.04800 ms     0000061c ticks
       103.64800 ms     00000ca7 ticks
