# DEBUG Waiting for a keypress.
        78.65600 ms     0000099a ticks
        64.86400 ms     000007eb ticks
        19.77600 ms     0000026a ticks
        50.14400 ms     0000061f ticks
        69.76000 ms     00000884 ticks
       100.28800 ms     00000c3e ticks
        60.73600 ms     0000076a ticks
        81.44000 ms     000009f1 ticks
        60.73600 ms     0000076a ticks
        85.63200 ms     00000a74 ticks
        51.68000 ms     0000064f ticks
        94.01600 ms     00000b7a ticks
        51.32800 ms     00000644 ticks
        16.64000 ms     00000208 ticks
        49.24800 ms     00000603 ticks
        43.80800 ms     00000559 ticks
        47.10400 ms     000005c0 ticks
       177.66400 ms     000015b0 ticks
        74.30400 ms     00000912 ticks
        25.02400 ms     0000030e ticks
        83.36000 ms     00000a2d ticks
        60.51200 ms     00000763 ticks
        44.89600 ms     0000057b ticks
       131.68000 ms     00001013 ticks
        58.43200 ms     00000722 ticks
       137.88800 ms     000010d5 ticks
        78.84800 ms     000009a0 ticks
       553.92000 ms     0000439e ticks
        69.82400 ms     00000886 ticks
        64.70400 ms     000007e6 ticks
        60.73600 ms     0000076a ticks
       119.13600 ms     00000e8b ticks
        49.44000 ms     00000609 ticks
       324.19200 ms     00002793 ticks
        65.28000 ms     000007f8 ticks
       150.52800 ms     00001260 ticks
        69.82400 ms     00000886 ticks
       198.65600 ms     00001840 ticks
       187.61600 ms     000016e7 ticks
       533.44000 ms     0000411e ticks
        56.25600 ms     000006de ticks
       102.36800 ms     00000c7f ticks
        58.46400 ms     00000723 ticks
        31.07200 ms     000003cb ticks
        58.33600 ms     0000071f ticks
       100.35200 ms     00000c40 ticks
        69.82400 ms     00000886 ticks
        45.92000 ms     0000059b ticks
        69.82400 ms     00000886 ticks
        45.95200 ms     0000059c ticks
        69.79200 ms     00000885 ticks
        22.91200 ms     000002cc ticks
        58.49600 ms     00000724 ticks
       133.79200 ms     00001055 ticks
        53.95200 ms     00000696 ticks
        20.83200 ms     0000028b ticks
        78.88000 ms     000009a1 ticks
        45.92000 ms     0000059b ticks
       108.35200 ms     00000d3a ticks
        87.74400 ms     00000ab6 ticks
       106.08000 ms     00000cf3 ticks
        27.07200 ms     0000034e ticks
        85.69600 ms     00000a76 ticks
       738.40000 ms     00005a23 ticks
        67.52000 ms     0000083e ticks
        22.91200 ms     000002cc ticks
       110.59200 ms     00000d80 ticks
       112.86400 ms     00000dc7 ticks
        83.42400 ms     00000a2f ticks
       265.63200 ms     0000206d ticks
        76.60800 ms     0000095a ticks
       137.98400 ms     000010d8 ticks
        69.82400 ms     00000886 ticks
       453.47200 ms     0000375b ticks
        60.60800 ms     00000766 ticks
        87.55200 ms     00000ab0 ticks
        65.12000 ms     000007f3 ticks
       116.73600 ms     00000e40 ticks
        51.58400 ms     0000064c ticks
       121.05600 ms     00000ec7 ticks
        51.68000 ms     0000064f ticks
        33.40800 ms     00000414 ticks
        90.17600 ms     00000b02 ticks
       100.32000 ms     00000c3f ticks
        58.49600 ms     00000724 ticks
        73.15200 ms     000008ee ticks
        67.48800 ms     0000083d ticks
        21.31200 ms     0000029a ticks
        49.21600 ms     00000602 ticks
        29.18400 ms     00000390 ticks
        47.16800 ms     000005c2 ticks
        94.04800 ms     00000b7b ticks
       106.04800 ms     00000cf2 ticks
        35.45600 ms     00000454 ticks
        74.36800 ms     00000914 ticks
        39.64800 ms     000004d7 ticks
        78.88000 ms     000009a1 ticks
        33.37600 ms     00000413 ticks
        76.64000 ms     0000095b ticks
        20.83200 ms     0000028b ticks
        60.73600 ms     0000076a ticks
       119.16800 ms     00000e8c ticks
        44.89600 ms     0000057b ticks
       114.97600 ms     00000e09 ticks
        78.33600 ms     00000990 ticks
        12.00000 ms     00000177 ticks
        53.76000 ms     00000690 ticks
        41.79200 ms     0000051a ticks
        58.46400 ms     00000723 ticks
        73.12000 ms     000008ed ticks
        47.20000 ms     000005c3 ticks
       110.78400 ms     00000d86 ticks
        72.06400 ms     000008cc ticks
        81.50400 ms     000009f3 ticks
        72.09600 ms     000008cd ticks
        33.37600 ms     00000413 ticks
        63.00800 ms     000007b1 ticks
        24.99200 ms     0000030d ticks
        67.58400 ms     00000840 ticks
       357.63200 ms     00002ba8 ticks
        51.71200 ms     00000650 ticks
       108.67200 ms     00000d44 ticks
        74.27200 ms     00000911 ticks
        33.53600 ms     00000418 ticks
        49.21600 ms     00000602 ticks
        98.20800 ms     00000bfd ticks
        90.20800 ms     00000b03 ticks
       117.02400 ms     00000e49 ticks
        63.00800 ms     000007b1 ticks
        79.39200 ms     000009b1 ticks
        96.99200 ms     00000bd7 ticks
        79.39200 ms     000009b1 ticks
        72.06400 ms     000008cc ticks
        64.76800 ms     000007e8 ticks
        92.44800 ms     00000b49 ticks
       284.41600 ms     000022b8 ticks
        76.60800 ms     0000095a ticks
       144.22400 ms     0000119b ticks
        51.71200 ms     00000650 ticks
       163.04000 ms     000013e7 ticks
        65.28000 ms     000007f8 ticks
       194.46400 ms     000017bd ticks
        69.76000 ms     00000884 ticks
       213.34400 ms     00001a0b ticks
        56.19200 ms     000006dc ticks
        45.95200 ms     0000059c ticks
        40.32000 ms     000004ec ticks
        31.07200 ms     000003cb ticks
        56.06400 ms     000006d8 ticks
       110.78400 ms     00000d86 ticks
        31.29600 ms     000003d2 ticks
       320.03200 ms     00002711 ticks
        83.39200 ms     00000a2e ticks
       803.16800 ms     0000620b ticks
        74.30400 ms     00000912 ticks
        28.64000 ms     0000037f ticks
        42.78400 ms     00000539 ticks
        16.25600 ms     000001fc ticks
        33.56800 ms     00000419 ticks
       974.40000 ms     000076f2 ticks
        51.68000 ms     0000064f ticks
       100.32000 ms     00000c3f ticks
        44.86400 ms     0000057a ticks
       117.08800 ms     00000e4b ticks
        49.40800 ms     00000608 ticks
        37.53600 ms     00000495 ticks
        38.11200 ms     000004a7 ticks
        98.24000 ms     00000bfe ticks
        67.96800 ms     0000084c ticks
        16.28800 ms     000001fd ticks
        72.67200 ms     000008df ticks
        18.46400 ms     00000241 ticks
        63.00800 ms     000007b1 ticks
        29.21600 ms     00000391 ticks
        56.19200 ms     000006dc ticks
        79.42400 ms     000009b2 ticks
        59.29600 ms     0000073d ticks
        11.74400 ms     0000016f ticks
        65.60000 ms     00000802 ticks
        20.80000 ms     0000028a ticks
        33.56800 ms     00000419 ticks
        85.69600 ms     00000a76 ticks
        51.68000 ms     0000064f ticks
        79.42400 ms     000009b2 ticks
        65.28000 ms     000007f8 ticks
        62.65600 ms     000007a6 ticks
        47.16800 ms     000005c2 ticks
        96.16000 ms     00000bbd ticks
        65.28000 ms     000007f8 ticks
       146.33600 ms     000011dd ticks
        76.64000 ms     0000095b ticks
        43.84000 ms     0000055a ticks
        56.22400 ms     000006dd ticks
        58.46400 ms     00000723 ticks
        51.68000 ms     0000064f ticks
       114.97600 ms     00000e09 ticks
        58.46400 ms     00000723 ticks
        89.88800 ms     00000af9 ticks
        56.16000 ms     000006db ticks
        21.31200 ms     0000029a ticks
        35.52000 ms     00000456 ticks
        83.61600 ms     00000a35 ticks
        31.29600 ms     000003d2 ticks
        96.12800 ms     00000bbc ticks
        74.33600 ms     00000913 ticks
        71.04000 ms     000008ac ticks
        60.76800 ms     0000076b ticks
        68.92800 ms     0000086a ticks
        58.49600 ms     00000724 ticks
        77.31200 ms     00000970 ticks
        72.06400 ms     000008cc ticks
       106.59200 ms     00000d03 ticks
        58.49600 ms     00000724 ticks
        20.83200 ms     0000028b ticks
        56.22400 ms     000006dd ticks
        39.64800 ms     000004d7 ticks
        96.70400 ms     00000bce ticks
        16.60800 ms     00000207 ticks
        53.79200 ms     00000691 ticks
        33.37600 ms     00000413 ticks
        24.51200 ms     000002fe ticks
       267.71200 ms     000020ae ticks
        94.72000 ms     00000b90 ticks
       102.43200 ms     00000c81 ticks
        74.33600 ms     00000913 ticks
       121.24800 ms     00000ecd ticks
        83.39200 ms     00000a2e ticks
       146.36800 ms     000011de ticks
        62.97600 ms     000007b0 ticks
        79.39200 ms     000009b1 ticks
        53.98400 ms     00000697 ticks
       119.13600 ms     00000e8b ticks
        83.36000 ms     00000a2d ticks
        35.48800 ms     00000455 ticks
        47.16800 ms     000005c2 ticks
       102.36800 ms     00000c7f ticks
        67.55200 ms     0000083f ticks
        60.57600 ms     00000765 ticks
        83.39200 ms     00000a2e ticks
        20.83200 ms     0000028b ticks
        60.99200 ms     00000772 ticks
        18.46400 ms     00000241 ticks
        58.49600 ms     00000724 ticks
        48.00000 ms     000005dc ticks
        65.21600 ms     000007f6 ticks
        45.72800 ms     00000595 ticks
        37.21600 ms     0000048b ticks
        11.93600 ms     00000175 ticks
        53.60000 ms     0000068b ticks
        54.27200 ms     000006a0 ticks
        65.28000 ms     000007f8 ticks
        77.31200 ms     00000970 ticks
        69.15200 ms     00000871 ticks
         9.63200 ms     0000012d ticks
        65.15200 ms     000007f4 ticks
        21.12000 ms     00000294 ticks
        53.60000 ms     0000068b ticks
        75.20000 ms     0000092e ticks
        60.76800 ms     0000076b ticks
        20.80000 ms     0000028a ticks
        60.76800 ms     0000076b ticks
        29.18400 ms     00000390 ticks
        79.45600 ms     000009b3 ticks
        14.01600 ms     000001b6 ticks
        29.08800 ms     0000038d ticks
       114.94400 ms     00000e08 ticks
        28.99200 ms     0000038a ticks
        48.19200 ms     000005e2 ticks
        35.48800 ms     00000455 ticks
        28.48000 ms     0000037a ticks
        78.46400 ms     00000994 ticks
       196.54400 ms     000017fe ticks
        74.30400 ms     00000912 ticks
        66.84800 ms     00000829 ticks
        82.62400 ms     00000a16 ticks
        11.52000 ms     00000168 ticks
        56.44800 ms     000006e4 ticks
        66.84800 ms     00000829 ticks
        60.73600 ms     0000076a ticks
        56.38400 ms     000006e2 ticks
        58.43200 ms     00000722 ticks
        38.40000 ms     000004b0 ticks
        37.82400 ms     0000049e ticks
        20.80000 ms     0000028a ticks
